NT	OT
Act 7:3	Gen 12:1
Act 7:32	Exo 3:6
Act 7:37	Deu 18:15
Act 7:42,43	Amo 5:25,26
Act 7:49,50	Isa 66:1,2
Act 8:32,33	Isa 53:7,8
Act 13:22	Psa 89:20
Act 13:33	Psa 2:7
Act 13:34	Isa 55:3
Act 13:35	Psa 16:10
Act 13:41	Hab 1:5
Act 13:47	Isa 49:6
Act 15:16,17	Amo 9:11,12
Act 23:5	Exo 22:28
Act 28:26,27	Isa 6:9,10
Rom 1:17	Hab 2:4
Rom 2:6	Psa 62:12
Rom 2:24	Isa 52:5
Rom 3:4	Psa 51:4
Rom 3:10,11,12	Psa 14:1
Rom 3:13	Psa 5:9
Rom 3:13	Psa 140:3
Rom 3:14	Psa 10:7
Rom 3:15-18	Isa 59:7,8
Rom 3:18	Psa 36:1
Rom 4:3	Gen 15:6
Rom 4:7,8	Psa 32:1,2
Rom 4:17	Gen 17:5
Rom 4:18	Gen 15:5
Rom 7:7	Exo 20:17
Rom 8:36	Psa 44:22
Rom 9:7	Gen 21:12
Rom 9:9	Gen 18:10
Rom 9:12	Gen 25:23
Rom 9:13	Mal 1:2,3
Rom 9:15	Exo 33:19
Rom 9:17	Exo 9:16
Rom 9:20	Isa 45:9
Rom 9:25	Hos 2:23
Rom 9:26	Hos 1:10
Rom 9:27,28	Isa 10:22,23
Rom 9:29	Isa 1:9
Rom 9:33	Isa 28:16
Rom 10:5	Lev 18:5
Rom 10:6,7	Deu 30:12,13
Rom 10:8	Deu 30:14
Rom 10:11	Isa 28:16
Rom 10:13	Joe 2:32
Rom 10:15	Isa 52:7
Rom 10:16	Isa 53:1
Rom 10:18	Psa 19:4
Rom 10:19	Deu 32:21
Rom 10:20,21	Isa 65:1,2
Rom 11:3	1Ki 19:10
Rom 11:4	1Ki 19:18
Rom 11:8	Isa 29:10
Rom 11:9,10	Psa 69:22,23
Rom 11:26,27	Isa 59:20,21
Rom 11:34	Isa 40:13
Rom 11:35	Job 41:11
Rom 12:19	Deu 32:35
Rom 12:20	Pro 25:21,22
Rom 14:11	Isa 45:23
Rom 15:3	Psa 69:9
Rom 15:9	Psa 18:49
Rom 15:10	Deu 32:43
Rom 15:11	Psa 117:1
Rom 15:12	Isa 11:10
Rom 15:21	Isa 52:15
1Co 1:19	Isa 29:14
1Co 1:31	Jer 9:24
1Co 2:9	Isa 64:4
1Co 3:19	Job 5:13
1Co 3:20	Psa 94:11
1Co 5:13	Deu 17:7
1Co 9:9	Deu 25:4
1Co 10:7	Exo 32:6
1Co 10:26	Psa 24:1
1Co 14:21	Isa 28:11,12
1Co 15:25	Psa 110:1
1Co 15:27	Psa 8:6
1Co 15:32	Isa 22:13
1Co 15:45	Gen 2:7
1Co 15:54	Isa 25:8
1Co 15:55	Hos 13:14
2Co 4:13	Psa 116:10
2Co 6:2	Isa 49:8
2Co 6:16	Lev 26:11,12
2Co 6:17,18	Isa 52:11,12
2Co 8:15	Exo 16:18
2Co 9:9	Psa 112:9
2Co 10:17	Jer 9:24
2Co 13:1	Deu 19:15
Gal 3:6	Gen 15:6
Gal 3:8	Gen 12:3
Gal 3:10	Deu 27:26
Gal 3:11	Hab 2:4
Gal 3:12	Lev 18:5
Gal 3:13	Deu 21:23
Gal 3:16	Gen 22:18
Gal 4:27	Isa 54:1
Gal 4:30	Gen 21:10
Gal 5:14	Lev 19:18
Eph 4:8	Psa 68:18
Eph 4:25	Zec 8:16
Eph 4:26	Psa 4:4
Eph 5:31	Gen 2:24
Eph 6:2,3	Exo 20:12
Eph 6:17	Isa 59:17
Phl 2:10	Isa 45:23
1Ti 5:18	Deu 25:4
Heb 1:5	Psa 2:7
Heb 1:6	Psa 97:7
Heb 1:7	Psa 104:4
Heb 1:8,9	Psa 45:6,7
Heb 1:10,11,12	Psa 102:25,26,27
Heb 1:13	Psa 110:1
Heb 2:6-8	Psa 8:4-6
Heb 2:12	Psa 22:22
Heb 2:13	Isa 8:18
Heb 3:7-11	Psa 95:7-11
Heb 4:3	Psa 95:11
Heb 4:4	Gen 2:2,3
Heb 4:7	Psa 95:7,8
Heb 5:5	Psa 2:7
Heb 5:6	Psa 110:4
Heb 6:14	Gen 22:16,17
Heb 7:17,21	Psa 110:4
Heb 8:5	Exo 25:40
Heb 8:8-12	Jer 31:31-34
Heb 9:20	Exo 24:8
Heb 10:5-7	Psa 40:6-8
Heb 10:16,17	Jer 31:33,34
Heb 10:28	Deu 17:6
Heb 10:30	Deu 32:35,36
Heb 10:37,38	Hab 2:3,4
Heb 12:5,6	Pro 3:11,12
Heb 12:26	Hag 2:6
Heb 12:29	Deu 4:24
Heb 13:5	Deu 31:8
Heb 13:6	Psa 118:6
Jas 2:8	Lev 19:18
Jas 2:23	Gen 15:6
Jas 4:6	Pro 3:34
1Pe 1:16	Lev 11:44
1Pe 1:24,25	Isa 40:6
1Pe 2:6	Isa 28:16
1Pe 2:7	Psa 118:22,23
1Pe 2:22	Isa 53:9
1Pe 2:24	Isa 53:4,5
1Pe 3:10,11,12	Psa 34:12-16
1Pe 4:18	Pro 11:31
1Pe 5:5	Pro 3:34
